category,name,quantity,price,date
vegetables,"Home
›
Fruits & Vegetables
›
Vegetables",Delivering to,Rs. 62,2023-10-04
vegetables,Vegetables,500 gm,Rs. 384,2023-10-04
roti-wraps-pita,"Home
›
Breakfast Essentials
›
Roti, Pita & Tortillas",Delivering to,Rs. 320,2023-10-04
roti-wraps-pita,"Roti, Pita & Tortillas",540 gm,Rs. 95,2023-10-04
cake-and-rusk,"Home
›
Breakfast Essentials
›
Cakes",Delivering to,Rs. 360,2023-10-04
cake-and-rusk,Cakes,1 unit,Rs. 320,2023-10-04
cake-and-rusk,Customer Service,1 unit,Rs. 210,2023-10-04
cake-and-rusk,Company Info,1 unit,Rs. 180,2023-10-04
cake-and-rusk,Help & Support,1 unit,Rs. 180,2023-10-04
cake-and-rusk,Download App,6 Pcs Box,Rs. 105,2023-10-04
cake-and-rusk,We Accept,100 gm,Rs. 180,2023-10-04
cake-and-rusk,"© GROCERAPP (PRIVATE) LIMITED, 2016-2022",175gm,Rs. 100,2023-10-04
raw-milk,"Home
›
Dairy
›
Raw & Fresh Milk",Delivering to,Rs. 379,2023-10-04
raw-milk,Raw & Fresh Milk,2 ltr,Rs. 195,2023-10-04
raw-milk,Gaala Milk Raw (Bachat Pack),Rs. 390,Rs. 199,2023-10-04
raw-milk,Gaala raw milk,1 ltr,Rs. 299,2023-10-04
milk,"Home
›
Dairy
›
UHT Milk",Delivering to,Rs. 3143,2023-10-04
milk,UHT Milk,1 ltr,Rs. 2949,2023-10-04
milk,Nurpur Full Cream Milk Carton (1x12),Rs. 3240,Rs. 265,2023-10-04
milk,Nurpur Full Cream Milk Carton (1x8),1500 ml,Rs. 3143,2023-10-04
milk,Olpers Full Cream Milk,Rs. 3040,Rs. 2960,2023-10-04
milk,Olpers Full Cream Milk Carton (1x12),1 ltr,Rs. 1931,2023-10-04
milk,Olpers Full Cream Milk Carton (1x8),Rs. 270,Rs. 214,2023-10-04
milk,Olpers Full Cream Milk Pouch Carton (1x28),1 ltr,Rs. 59,2023-10-04
