category,name,quantity,price,date
vegetables,Peeled Onion - چھلا ہوا پیاز,500 gm,Rs. 76,2023-10-11
vegetables,Onion ( Bachat Pack),3 kg,Rs. 404,2023-10-11
vegetables,Potato (Bachat Pack),3 kg,Rs. 334,2023-10-11
vegetables,Onion - پیاز,1 kg,Rs. 144,2023-10-11
vegetables,Potato - (new),1 kg,Rs. 115,2023-10-11
vegetables,Tomato (ٹماٹر),1 kg,Rs. 158,2023-10-11
vegetables,Ginger - ادرک,250 gm,Rs. 410,2023-10-11
vegetables,Garlic لہسن,250 gm,Rs. 160,2023-10-11
vegetables,Desi Green Chilli - سبز مرچ,250 gm,Rs. 48,2023-10-11
vegetables,Green Chilli Farmi - سبز مرچ,250 gm,Rs. 48,2023-10-11
vegetables,Carrot - گاجر,500 gm,Rs. 109,2023-10-11
vegetables,Cucumber - کھیرا,500 gm,Rs. 43,2023-10-11
vegetables,Cabbage - بند گوبھی,1500 gm,Rs. 260,2023-10-11
vegetables,Radish white- مولی سفید۔,1 kg,Rs. 113,2023-10-11
vegetables,Beetroot - چقندر,500 gm,Rs. 99,2023-10-11
vegetables,China Lemon (لیموں),250 gm,Rs. 47,2023-10-11
vegetables,Iceberg Lettuce (آئس برگ لیٹش),800 gm,Rs. 341,2023-10-11
vegetables,Broccoli - بروکلی,500 gm,Rs. 540,2023-10-11
vegetables,Capsicum - شملہ مرچ,500 gm,Rs. 207,2023-10-11
vegetables,Spinach - پالک,1 kg,Rs. 85,2023-10-11
vegetables,Mint - پودینہ,1 bunch,Rs. 20,2023-10-11
vegetables,Coriander - دھنیا,1 bunch,Rs. 45,2023-10-11
vegetables,Lettuce Leaves - سلاد پتّہ,1 bunch,Rs. 37,2023-10-11
vegetables,Fenugreek - میتھی,1 kg,Rs. 280,2023-10-11
vegetables,Green onion - ہری پیاز,250 gm,Rs. 105,2023-10-11
vegetables,Saag - ساگ,1 kg,Rs. 98,2023-10-11
vegetables,Chinese Carrot- گاجر,500 gm,Rs. 130,2023-10-11
vegetables,Peas - مٹر,500 gm,Rs. 313,2023-10-11
vegetables,Cauliflower - پھول گوبھی,1500 gm,Rs. 355,2023-10-11
vegetables,Turnip - شلجم,1 kg,Rs. 184,2023-10-11
fruits,Apple kala kullu (سیب کالا کلو),1 kg,Rs. 375,2023-10-11
fruits,Apple Shin Kulu (سیب شن کولو),1 kg,Rs. 240,2023-10-11
fruits,Banana - کیلا,500 gm,Rs. 70,2023-10-11
fruits,Musammi - مسمی,1 kg,Rs. 98,2023-10-11
fruits,Grapefruit - چکوترا,1 unit,Rs. 101,2023-10-11
fruits,Grapes Sunderkhani 500gm انگور سنررخانی,500 gm,Rs. 225,2023-10-11
fruits,Grapes Tofi,500 gm,Rs. 180,2023-10-11
fruits,Guava-امرود,1 kg,Rs. 215,2023-10-11
fruits,Coconut (ناریل) per piece,1 unit,Rs. 415,2023-10-11
fruits,Kiwi (کیوی) (Approx. 480 G to 510 G),500 gm,Rs. 370,2023-10-11
fruits,Papaya - پپیتہ (unit 500gm and above),1 unit,Rs. 246,2023-10-11
fruits,Pomegranate Badanaسفید انار,1200 gm,Rs. 670,2023-10-11
fruits,Pomegranate Kandhari (انار قندھاری),1500 gm,Rs. 510,2023-10-11
fruits,Apple Gacha -(گچا سیب),1 kg,Rs. 335,2023-10-11
fruits,Melon ( Garma ) 1.5 to 2 kg Approx.,1 unit,Rs. 340,2023-10-11
fruits,Sweet Lime (میٹھا),1 kg,Rs. 135,2023-10-11
fruits,Persimmon 500GM (جاپانی پھل),500 gm,Rs. 130,2023-10-11
fruits,Grapes Gola 500gm انگور گولہ,500 gm,Rs. 180,2023-10-11
fruits,Tamarind - املی(Box 250GM),1 unit,Rs. 620,2023-10-11
fruits,Coconut - سبز ناریل,1 unit,Rs. 530,2023-10-11
english-vegetables-herbs,Celery - Heirloom farms,200 gm,Rs. 300,2023-10-11
english-vegetables-herbs,Mix salad leaves - Heirloom farms,150 gm,Rs. 400,2023-10-11
english-vegetables-herbs,Basil (Mix Leaves) - Heirloom farms,50 gm,Rs. 250,2023-10-11
english-vegetables-herbs,White onion - Heirloom farms,500 gm,Rs. 350,2023-10-11
english-vegetables-herbs,Curly Parsley - Heirloom farms,50 gm,Rs. 300,2023-10-11
english-vegetables-herbs,Rocket leaves - Heirloom farms,50 gm,Rs. 300,2023-10-11
english-vegetables-herbs,Broccoli sprouts - Heirloom farms,20 gm,Rs. 400,2023-10-11
eggs,SB Eggs Super,12 piece,Rs. 375,2023-10-11
eggs,SB Super Eggs,6 piece,Rs. 188,2023-10-11
eggs,Classic Eggs Farm Fresh,12 piece,Rs. 365,2023-10-11
breads,Fruitamins Bread Crumb,200 gm,Rs. 172,2023-10-11
breads,Fruitamins Bread Crumb,500 gm,Rs. 318,2023-10-11
breads,Tordan Bread Crumbs,1 kg,Rs. 799,2023-10-11
breads,Bunny's Bread Crumbs,200 gm,Rs. 140,2023-10-11
breads,Bunnys Bran Bread Small,Per Unit,Rs. 165,2023-10-11
breads,Dawn Bran Bread 340g,340 gm,Rs. 160,2023-10-11
breads,Dawn Bread Crumbs 1kg,1000 gm,Rs. 400,2023-10-11
breads,Dawn Bread Crumbs 200g,200 gm,Rs. 140,2023-10-11
breads,Dawn Bread Plain Large 725g,1 unit,Rs. 230,2023-10-11
breads,Dawn Multigrain Bread 340g,340 gm,Rs. 160,2023-10-11
breads,Dawn Sandwich Bread 1kg,1000 gm,Rs. 260,2023-10-11
